"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"44","48.72257","21.26749","1"
"44","48.75598","21.25332","2"
"44","48.79561","21.24592","3"
"44","48.83553","21.21857","4"
"44","48.85289","21.22461","5"
"44","48.85673","21.15516","7"
"44","48.874","21.13422","8"
"44","48.875","21.10915","9"
"44","48.8895","21.04085","11"
"44","48.89415","21.01378","12"
"44","48.91417","20.94878","13"
"44","48.92279","20.92602","14"
"44","48.92119","20.88626","15"
"44","48.93568","20.80349","16"
"44","48.92609","20.74839","17"
"44","48.92559","20.71735","18"
"44","48.92571","20.70038","19"
"44","48.917","20.66896","20"
"44","48.91051","20.63438","21"
"44","48.91866","20.58349","22"
"44","48.9501","20.56082","23"
"44","48.95336","20.52301","24"
"44","48.96473","20.4738","25"
"44","48.97371","20.4606","26"
"44","48.99467","20.40817","28"
"44","49.00656","20.37817","29"
"44","49.02357","20.3151","30"
"44","49.05925","20.29509","31"
"44","49.06112","20.19797","33"
"44","49.05973","20.14225","35"
"44","49.05711222977822","20.158017677156316","36"
"44","49.06262","20.08269","37"
"44","49.08314","20.06681","38"
"44","49.06695","19.98789","40"
"44","49.05031","19.91633","41"
"44","49.019033","19.804653","42"
"44","49.02552","19.78643","43"
"44","49.03773","19.72117","44"
"44","49.05912","19.69526","45"
"44","49.07658","19.65176","46"
"44","49.09185","19.60526","47"
"44","49.09111","19.52117","48"
"44","49.08783","19.47448","49"
"44","49.09949","19.41673","50"
"44","49.08743","19.3537","51"
"44","49.08321","19.30916","52"
"44","49.08609","19.28157","53"
"44","49.10033","19.24642","54"
"44","49.12279","19.19556","55"
"44","49.12709","19.17182","56"
"44","49.14445","19.17297","57"
"44","49.15250","19.12977","58"
"44","49.14305","19.09075","59"
"44","49.12643","19.08349","60"
"44","49.1096","19.03728","61"
"44","49.10345","18.98828","62"
"44","49.10906","18.94663","63"
"44","49.11477","18.9243","64"
"44","49.18221","18.86957","65"
"44","49.196418","18.867732","66"
"44","49.20187","18.84778","67"
"44","49.2151620","18.7933922","69"
"44","49.22668","18.74626","71"
"44","49.2308890","18.7286470","72"
"44","49.25467","18.65913","74"
"44","49.24094","18.64331","75"
"44","49.20731","18.55359","77"
"44","49.1975","18.53565","79"
"44","49.17127","18.49095","82"
"44","49.170999","18.491365","83"
"44","49.13971","18.46796","84"
"44","49.12214","18.43209","86"
"44","49.129327","18.355643","91"
"44","49.11398","18.32795","92"
"44","49.087192","18.325281","93"
"44","49.06292","18.31965","95"
"44","49.03469","18.29047","96"
"44","49.0143","18.2573","97"
"44","49.00178","18.23645","98"
"44","48.96609","18.16811","99"
"44","48.93543","18.1113","100"
"44","48.91012","18.08786","102"
"44","48.89627","18.0517","103"
"44","48.90036","18.02246","104"
"44","48.87764","17.97523","106"
"44","48.836730","17.918657","108"
"44","48.80169","17.87415","110"
"44","48.75169","17.83573","111"
"44","48.738047","17.834263","112"
"44","48.70297","17.84244","113"
"44","48.7361329","17.8347709","114"
"44","48.68313","17.84599","115"
"44","48.6557693","17.8377543","116"
"44","48.65145","17.83622","118"
"44","48.59625","17.81542","119"
"44","48.52551","17.79005","121"
"44","48.50731","17.77409","122"
"44","48.47811","17.76443","123"
"44","48.44169","17.75937","125"
"44","48.38233","17.69135","127"
"44","48.37044","17.5843","129"
"44","48.36691613963427","17.578303882805145","130"
"44","48.32279","17.48657","132"
"44","48.30518","17.4496","134"
"44","48.30191","17.34619","136"
"44","48.2827","17.27017","138"
"44","48.2674","17.24654","139"
"44","48.25950","17.23500","140"
"44","48.24739","17.21735","141"
"44","48.20895","17.16044","142"
"44","48.1984170","17.1486550","143"
"44","48.18463","17.13373","144"
"44","48.17135","17.14642","145"
"44","48.141818","17.146777","146"
"44","48.12174","17.09842","147"
"44","48.1026650","17.0841240","148"
"44","48.185842","16.374666","149"
"45","48.185842","16.374666","1"
"45","48.1026650","17.0841240","2"
"45","48.12174","17.09842","3"
"45","48.141818","17.146777","4"
"45","48.17135","17.14642","5"
"45","48.18463","17.13373","6"
"45","48.1984170","17.1486550","7"
"45","48.20895","17.16044","8"
"45","48.24739","17.21735","9"
"45","48.25950","17.23500","10"
"45","48.2674","17.24654","11"
"45","48.2827","17.27017","12"
"45","48.30191","17.34619","14"
"45","48.30518","17.4496","16"
"45","48.32279","17.48657","18"
"45","48.36691613963427","17.578303882805145","20"
"45","48.37044","17.5843","21"
"45","48.38233","17.69135","23"
"45","48.44169","17.75937","25"
"45","48.47811","17.76443","27"
"45","48.50731","17.77409","28"
"45","48.52551","17.79005","29"
"45","48.59625","17.81542","31"
"45","48.65145","17.83622","32"
"45","48.6557693","17.8377543","34"
"45","48.68313","17.84599","35"
"45","48.7361329","17.8347709","36"
"45","48.70297","17.84244","37"
"45","48.738047","17.834263","38"
"45","48.75169","17.83573","39"
"45","48.80169","17.87415","40"
"45","48.836730","17.918657","42"
"45","48.87764","17.97523","44"
"45","48.90036","18.02246","46"
"45","48.89627","18.0517","47"
"45","48.91012","18.08786","48"
"45","48.93543","18.1113","50"
"45","48.96609","18.16811","51"
"45","49.00178","18.23645","52"
"45","49.0143","18.2573","53"
"45","49.03469","18.29047","54"
"45","49.06292","18.31965","55"
"45","49.087192","18.325281","57"
"45","49.11398","18.32795","58"
"45","49.129327","18.355643","59"
"45","49.12214","18.43209","64"
"45","49.13971","18.46796","66"
"45","49.170999","18.491365","67"
"45","49.17127","18.49095","68"
"45","49.1975","18.53565","71"
"45","49.20731","18.55359","73"
"45","49.24094","18.64331","75"
"45","49.25467","18.65913","76"
"45","49.2308890","18.7286470","78"
"45","49.22668","18.74626","79"
"45","49.2151620","18.7933922","81"
"45","49.20187","18.84778","83"
"45","49.196418","18.867732","84"
"45","49.18221","18.86957","85"
"45","49.11477","18.9243","86"
"45","49.10906","18.94663","87"
"45","49.10345","18.98828","88"
"45","49.1096","19.03728","89"
"45","49.12643","19.08349","90"
"45","49.14305","19.09075","91"
"45","49.15250","19.12977","92"
"45","49.14445","19.17297","93"
"45","49.12709","19.17182","94"
"45","49.12279","19.19556","95"
"45","49.10033","19.24642","96"
"45","49.08609","19.28157","97"
"45","49.08321","19.30916","98"
"45","49.08743","19.3537","99"
"45","49.0899090","19.3658580","100"
"45","49.09949","19.41673","101"
"45","49.08783","19.47448","102"
"45","49.09111","19.52117","103"
"45","49.09185","19.60526","104"
"45","49.07658","19.65176","105"
"45","49.05912","19.69526","106"
"45","49.03773","19.72117","107"
"45","49.02552","19.78643","108"
"45","49.019033","19.804653","109"
"45","49.05031","19.91633","110"
"45","49.06695","19.98789","111"
"45","49.08314","20.06681","113"
"45","49.06262","20.08269","114"
"45","49.05711222977822","20.158017677156316","115"
"45","49.05973","20.14225","116"
"45","49.06112","20.19797","118"
"45","49.05925","20.29509","120"
"45","49.02357","20.3151","121"
"45","49.00656","20.37817","122"
"45","48.99467","20.40817","123"
"45","48.97371","20.4606","125"
"45","48.96473","20.4738","126"
"45","48.95336","20.52301","127"
"45","48.9501","20.56082","128"
"45","48.91866","20.58349","129"
"45","48.91051","20.63438","130"
"45","48.917","20.66896","131"
"45","48.92571","20.70038","132"
"45","48.92559","20.71735","133"
"45","48.92609","20.74839","134"
"45","48.93568","20.80349","135"
"45","48.92119","20.88626","136"
"45","48.92279","20.92602","137"
"45","48.91417","20.94878","138"
"45","48.89415","21.01378","139"
"45","48.8895","21.04085","140"
"45","48.875","21.10915","142"
"45","48.874","21.13422","143"
"45","48.85673","21.15516","144"
"45","48.85289","21.22461","146"
"45","48.83553","21.21857","147"
"45","48.79561","21.24592","148"
"45","48.75598","21.25332","149"
"45","48.72257","21.26749","150"
"114","49.78359445142597","22.776410740964934","1"
"114","49.79295033351265","22.77279976292363","2"
"114","49.939467066899894","22.829894195939513","3"
"114","50.01092297990164","22.677537644108657","4"
"114","50.06676221813326","22.501622724177604","5"
"114","50.081435193742465","22.22761670637047","6"
"114","50.042809","22.007001","7"
"114","50.075740225985065","21.689915277891398","8"
"114","50.078352889229436","21.58279158230196","9"
"114","50.054600485987216","21.405706566112865","10"
"114","50.00572979171495","20.974616718769198","11"
"114","49.986780372145134","20.610323549277048","12"
"114","49.97705697849873","20.431310903936524","13"
"114","50.03465487474004","19.974618083052764","14"
"114","50.06940346619221","19.94787276162726","15"
"114","50.131223916246164","19.632272958540906","16"
"114","50.15424987671663","19.453223167984902","17"
"114","50.14419524957765","19.413660643733383","18"
"114","50.04138443932693","19.20004976888159","19"
"114","49.914693233067695","19.00508197861","20"
"114","49.8707441528146","18.624279938765742","21"
"114","49.901173","18.359049","22"
"114","49.850588","18.267845","23"
"114","49.821514","18.209391","24"
"114","49.565211","17.742603","25"
"114","49.447639","17.445851","26"
"114","49.202607","17.531814","27"
"114","49.076077","17.423254","28"
"114","48.856051","17.122518","29"
"114","48.754042","16.892406","30"
"114","48.66220","17.04712","31"
"114","48.15827","17.10615","32"
"114","47.99445","18.17388","33"
"114","47.79944","18.67906","34"
"114","47.821429","18.862373","35"
"114","47.791346","18.959139","36"
"114","47.782291","19.132752","37"
"114","47.510158","19.056577","38"
"120","49.11398","18.32795","1"
"120","49.107362","18.317147","3"
"120","49.116050","18.306297","4"
"120","49.14565","18.28708","5"
"120","49.176363","18.253986","6"
"120","49.190886","18.227490","7"
"120","49.184015","18.144608","8"
"120","49.18396","18.14464","9"
"120","49.1800120","18.1311630","10"
"120","49.188494","18.058033","11"
"120","49.335697","17.993927","12"
"120","49.474807","17.961734","13"
"120","49.565211","17.742603","14"
"120","49.529181","17.572653","15"
"120","49.592475","17.277321","16"
"120","49.723895","17.091157","17"
"120","49.776781","16.942582","18"
"120","49.872645","16.887582","19"
"120","49.897544927129076","16.446737804079348","20"
"120","49.970776","16.377682","21"
"120","49.993742","16.223949","22"
"120","50.032892","15.756045","23"
"120","50.039417","15.574287","24"
"120","50.024741","15.213938","25"
"120","50.101152","14.502618","26"
"120","50.083303","14.434981","27"
"120","50.064959886038345","14.44793499638317","28"
"121","50.064959886038345","14.44793499638317","1"
"121","50.083303","14.434981","2"
"121","50.101152","14.502618","3"
"121","50.024741","15.213938","4"
"121","50.032892","15.756045","5"
"121","49.897544927129076","16.446737804079348","6"
"121","49.872645","16.887582","7"
"121","49.776781","16.942582","8"
"121","49.723895","17.091157","9"
"121","49.592475","17.277321","10"
"121","49.529181","17.572653","11"
"121","49.565211","17.742603","12"
"121","49.474807","17.961734","13"
"121","49.335697","17.993927","14"
"121","49.188494","18.058033","15"
"121","49.1800120","18.1311630","16"
"121","49.18396","18.14464","17"
"121","49.184015","18.144608","18"
"121","49.190886","18.227490","19"
"121","49.176363","18.253986","20"
"121","49.14565","18.28708","21"
"121","49.116050","18.306297","22"
"121","49.107362","18.317147","23"
"121","49.11398","18.32795","25"
"122","49.11398","18.32795","1"
"122","49.107362","18.317147","3"
"122","49.116050","18.306297","4"
"122","49.14565","18.28708","5"
"122","49.176363","18.253986","6"
"122","49.190886","18.227490","7"
"122","49.184015","18.144608","8"
"122","49.18396","18.14464","9"
"122","49.1800120","18.1311630","10"
"122","49.188494","18.058033","11"
"122","49.335697","17.993927","12"
"122","49.474807","17.961734","13"
"122","49.565211","17.742603","14"
"122","49.529181","17.572653","15"
"122","49.592475","17.277321","16"
"122","49.723895","17.091157","17"
"122","49.776781","16.942582","18"
"122","49.872645","16.887582","19"
"122","49.897544927129076","16.446737804079348","20"
"122","50.032892","15.756045","21"
"122","50.024741","15.213938","22"
"122","50.101152","14.502618","23"
"122","50.083303","14.434981","24"
"122","50.064959886038345","14.44793499638317","25"
"123","50.064959886038345","14.44793499638317","1"
"123","50.083303","14.434981","2"
"123","50.101152","14.502618","3"
"123","50.024741","15.213938","4"
"123","50.032892","15.756045","5"
"123","49.897544927129076","16.446737804079348","6"
"123","49.872645","16.887582","7"
"123","49.776781","16.942582","8"
"123","49.723895","17.091157","9"
"123","49.592475","17.277321","10"
